Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Mikrotik,/system,identity,set,name <name>,
Mikrotik,/interface,print,,,
Mikrotik,/interface,ethernet,set,<interface> name <name>,
Mikrotik,/ip,address,add,address <address>/<prefix> interface <interface>,
Mikrotik,/ip,route,add,check-gateway ping,,
Mikrotik,/ip,route,print,summary,,
Mikrotik,/ip,arp,print,summary,,
Mikrotik,/interface,ethernet,print,summary,,
Mikrotik,/system,resource,monitor,,,
Mikrotik,/system,clock,print,detail,,
Mikrotik,/system,upgrade,refresh,,,
Mikrotik,/system,script,run,<name>,,
Mikrotik,/ip,firewall,filter add,chain input action reject,,
Mikrotik,/ip,firewall,filter print,summary,,
Mikrotik,/ip,dhcp-server,lease add,address <ip-address>,,
Mikrotik,/ip,dhcp-server,lease print,detail,,
Mikrotik,/ip,dns,static print,detail,,
Mikrotik,/ip,ospf,interface print,detail,,
Mikrotik,/ip,bgp,peer print,detail,,
Mikrotik,/ip,rip,interface print,detail,,
Mikrotik,/mpls,ldp,interface print,detail,,
Mikrotik,/interface,bridge,port print,detail,,
Mikrotik,/ip,hotspot,profile print,detail,,
Mikrotik,/ip,ipsec,policy print,detail,,
Mikrotik,/ip,snmp,community print,detail,,
Mikrotik,/system,logging,action print,detail,,
Mikrotik,/interface,wireless,security-profiles print,detail,,
Mikrotik,/ip,cloud,ddns print,detail,,
Mikrotik,/system,watchdog,print,detail,,
Mikrotik,/ip,traffic-flow,target print,detail,,
Mikrotik,/ip,proxy,access print,detail,,
Mikrotik,/ip,upnp,interfaces print,detail,,
Mikrotik,/interface,ppp-server,print,detail,,
Mikrotik,/ip,firewall,mangle print,summary,,
Mikrotik,/ip,route,print,vrf <vrf>,,
Mikrotik,/ip,arp,print,vrf <vrf>,,
Mikrotik,/interface,ethernet,print,vrf <vrf>,,
Mikrotik,/system,resource,print,vrf <vrf>,,
Mikrotik,/system,clock,print,vrf <vrf>,,
Mikrotik,/system,upgrade,print,vrf <vrf>,,
Mikrotik,/system,script,print,vrf <vrf>,,
Mikrotik,/ip,firewall,filter print,vrf <vrf>,,
Mikrotik,/ip,dhcp-server,print,vrf <vrf>,,
Mikrotik,/ip,dhcp-client,print,vrf <vrf>,,
Mikrotik,/ip,dns,print,vrf <vrf>,,
Mikrotik,/ip,ospf,print,vrf <vrf>,,
Mikrotik,/ip,bgp,print,vrf <vrf>,,
Mikrotik,/ip,rip,print,vrf <vrf>,,
Mikrotik,/mpls,ldp,print,vrf <vrf>,,
Mikrotik,/interface,bridge,print,vrf <vrf>,,
Mikrotik,/ip,hotspot,print,vrf <vrf>,,
Mikrotik,/ip,ipsec,print,vrf <vrf>,,
Mikrotik,/ip,snmp,print,vrf <vrf>,,
Mikrotik,/system,logging,print,vrf <vrf>,,
Mikrotik,/interface,wireless,print,vrf <vrf>,,
Mikrotik,/ip,cloud,print,vrf <vrf>,,
Mikrotik,/system,watchdog,print,vrf <vrf>,,
Mikrotik,/ip,traffic-flow,print,vrf <vrf>,,
Mikrotik,/ip,proxy,print,vrf <vrf>,,
Mikrotik,/ip,upnp,print,vrf <vrf>,,
Mikrotik,/interface,ppp-server,print,vrf <vrf>,,
Mikrotik,/ip,firewall,mangle print,vrf <vrf>,,
Mikrotik,/ip,route,add,vrf <vrf> dst-address <network>/<prefix>,,
Mikrotik,/ip,arp,add,vrf <vrf> address <ip-address>,,
Mikrotik,/interface,ethernet,monitor,vrf <vrf>,,
Mikrotik,/system,resource,monitor,vrf <vrf>,,
Mikrotik,/system,clock,set,vrf <vrf> time <time>,,
Mikrotik,/system,upgrade,refresh,vrf <vrf>,,
Mikrotik,/system,script,run,vrf <vrf> <name>,,
Mikrotik,/ip,firewall,filter add,vrf <vrf> chain input,,
Mikrotik,/ip,dhcp-server,add,vrf <vrf> interface <interface>,,
Mikrotik,/ip,dhcp-client,add,vrf <vrf> interface <interface>,,
Mikrotik,/ip,dns,set,vrf <vrf> servers <ip-address>,,
Mikrotik,/ip,ospf,instance add,vrf <vrf> name <name>,,
Mikrotik,/ip,bgp,instance add,vrf <vrf> name <name>,,
Mikrotik,/ip,rip,interface add,vrf <vrf> interface <interface>,,
Mikrotik,/mpls,ldp,set,vrf <vrf> enabled yes,,
Mikrotik,/interface,bridge,add,vrf <vrf> name <name>,,
Mikrotik,/ip,hotspot,profile add,vrf <vrf> name <name>,,
Mikrotik,/ip,ipsec,policy add,vrf <vrf> src-address <network>,,
Mikrotik,/ip,snmp,set,vrf <vrf> enabled yes,,
Mikrotik,/system,logging,add,vrf <vrf> topics info,,
Mikrotik,/interface,wireless,set,vrf <vrf> mode ap-bridge,,
Mikrotik,/ip,cloud,set,vrf <vrf> enabled yes,,
Mikrotik,/system,watchdog,set,vrf <vrf> watchdog-timer yes,,
Mikrotik,/ip,traffic-flow,set,vrf <vrf> enabled yes,,
Mikrotik,/ip,proxy,set,vrf <vrf> enabled yes,,
Mikrotik,/ip,upnp,set,vrf <vrf> enabled yes,,
Mikrotik,/interface,ppp-server,add,vrf <vrf> interface <interface>,,
Mikrotik,/ip,firewall,mangle add,vrf <vrf> chain prerouting,,
Mikrotik,/ip,route,print,detail vrf <vrf>,,
Mikrotik,/ip,arp,print,detail vrf <vrf>,,
Mikrotik,/interface,ethernet,print,detail vrf <vrf>,,
Mikrotik,/system,resource,print,detail vrf <vrf>,,
Mikrotik,/system,clock,print,detail vrf <vrf>,,
Mikrotik,/system,upgrade,print,detail vrf <vrf>,,
Mikrotik,/system,script,print,detail vrf <vrf>,,
Mikrotik,/ip,firewall,filter print,detail vrf <vrf>,,
Mikrotik,/ip,dhcp-server,print,detail vrf <vrf>,,
Mikrotik,/ip,dhcp-client,print,detail vrf <vrf>,,
Mikrotik,/ip,dns,print,detail vrf <vrf>,,
Mikrotik,/ip,ospf,print,detail vrf <vrf>,,
Mikrotik,/ip,bgp,print,detail vrf <vrf>,,
Mikrotik,/ip,rip,print,detail vrf <vrf>,,
Mikrotik,/mpls,ldp,print,detail vrf <vrf>,,
Mikrotik,/interface,bridge,print,detail vrf <vrf>,,
Mikrotik,/ip,hotspot,print,detail vrf <vrf>,,
Mikrotik,/ip,ipsec,print,detail vrf <vrf>,,
Mikrotik,/ip,snmp,print,detail vrf <vrf>,,
Mikrotik,/system,logging,print,detail vrf <vrf>,,
Mikrotik,/interface,wireless,print,detail vrf <vrf>,,
Mikrotik,/ip,cloud,print,detail vrf <vrf>,,
Mikrotik,/system,watchdog,print,detail vrf <vrf>,,
Mikrotik,/ip,traffic-flow,print,detail vrf <vrf>,,
Mikrotik,/ip,proxy,print,detail vrf <vrf>,,
Mikrotik,/ip,upnp,print,detail vrf <vrf>,,
Mikrotik,/interface,ppp-server,print,detail vrf <vrf>,,
Mikrotik,/ip,firewall,mangle print,detail vrf <vrf>,,
Mikrotik,/ip,route,add,vrf <vrf> distance <value>,,
Mikrotik,/ip,arp,add,vrf <vrf> address <ip-address> mac-address <mac>,,
Mikrotik,/interface,ethernet,monitor,vrf <vrf> detail,,
Mikrotik,/system,resource,monitor,vrf <vrf> detail,,
Mikrotik,/system,clock,set,vrf <vrf> date <date>,,
Mikrotik,/system,upgrade,refresh,vrf <vrf> detail,,
Mikrotik,/system,script,run,vrf <vrf> <name> detail,,
Mikrotik,/ip,firewall,filter add,vrf <vrf> chain forward,,
Mikrotik,/ip,dhcp-server,add,vrf <vrf> name <name>,,
Mikrotik,/ip,dhcp-client,add,vrf <vrf> name <name>,,
Mikrotik,/ip,dns,set,vrf <vrf> allow-remote-requests yes,,
Mikrotik,/ip,ospf,instance add,vrf <vrf> router-id <ip-address>,,
Mikrotik,/ip,bgp,instance add,vrf <vrf> router-id <ip-address>,,
Mikrotik,/ip,rip,interface add,vrf <vrf> authentication md5,,
Mikrotik,/mpls,ldp,set,vrf <vrf> lsr-id <ip-address>,,
Mikrotik,/interface,bridge,add,vrf <vrf> protocol-mode rstp,,
Mikrotik,/ip,hotspot,profile add,vrf <vrf> login-by http,,
Mikrotik,/ip,ipsec,policy add,vrf <vrf> tunnel yes,,
Mikrotik,/ip,snmp,set,vrf <vrf> contact <contact>,,
Mikrotik,/system,logging,add,vrf <vrf> prefix <prefix>,,
Mikrotik,/interface,wireless,set,vrf <vrf> ssid <ssid>,,
Mikrotik,/ip,cloud,set,vrf <vrf> update-timer <time>,,
Mikrotik,/system,watchdog,set,vrf <vrf> ping-start-after-boot <time>,,
Mikrotik,/ip,traffic-flow,set,vrf <vrf> cache-entries <value>,,
Mikrotik,/ip,proxy,set,vrf <vrf> port <port>,,
Mikrotik,/ip,upnp,set,vrf <vrf> allow-disable-external-interface yes,,
Mikrotik,/interface,ppp-server,add,vrf <vrf> name <name>,,
Mikrotik,/ip,firewall,mangle add,vrf <vrf> chain postrouting,,
Mikrotik,/ip,route,add,vrf <vrf> check-gateway arp,,
Mikrotik,/ip,arp,add,vrf <vrf> interface <interface>,,
Mikrotik,/interface,ethernet,print,statistics,,
Mikrotik,/system,resource,print,statistics,,
Mikrotik,/system,clock,print,statistics,,
Mikrotik,/system,upgrade,print,statistics,,
Mikrotik,/system,script,print,statistics,,
Mikrotik,/ip,firewall,filter print,statistics,,
Mikrotik,/ip,dhcp-server,print,statistics,,
Mikrotik,/ip,dhcp-client,print,statistics,,
Mikrotik,/ip,dns,print,statistics,,
Mikrotik,/ip,ospf,print,statistics,,
Mikrotik,/ip,bgp,print,statistics,,
Mikrotik,/ip,rip,print,statistics,,
Mikrotik,/mpls,ldp,print,statistics,,
Mikrotik,/interface,bridge,print,statistics,,
Mikrotik,/ip,hotspot,print,statistics,,
Mikrotik,/ip,ipsec,print,statistics,,
Mikrotik,/ip,snmp,print,statistics,,
Mikrotik,/system,logging,print,statistics,,
Mikrotik,/interface,wireless,print,statistics,,
Mikrotik,/ip,cloud,print,statistics,,
Mikrotik,/system,watchdog,print,statistics,,
Mikrotik,/ip,traffic-flow,print,statistics,,
Mikrotik,/ip,proxy,print,statistics,,
Mikrotik,/ip,upnp,print,statistics,,
Mikrotik,/interface,ppp-server,print,statistics,,
Mikrotik,/ip,firewall,mangle print,statistics,,
Mikrotik,/ip,route,print,statistics vrf <vrf>,,
Mikrotik,/ip,arp,print,statistics vrf <vrf>,,
Mikrotik,/interface,ethernet,print,statistics vrf <vrf>,,
Mikrotik,/system,resource,print,statistics vrf <vrf>,,
Mikrotik,/system,clock,print,statistics vrf <vrf>,,
Mikrotik,/system,upgrade,print,statistics vrf <vrf>,,
Mikrotik,/system,script,print,statistics vrf <vrf>,,
Mikrotik,/ip,firewall,filter print,statistics vrf <vrf>,,
Mikrotik,/ip,dhcp-server,print,statistics vrf <vrf>,,
Mikrotik,/ip,dhcp-client,print,statistics vrf <vrf>,,
Mikrotik,/ip,dns,print,statistics vrf <vrf>,,
Mikrotik,/ip,ospf,print,statistics vrf <vrf>,,
Mikrotik,/ip,bgp,print,statistics vrf <vrf>,,
Mikrotik,/ip,rip,print,statistics vrf <vrf>,,
Mikrotik,/mpls,ldp,print,statistics vrf <vrf>,,
Mikrotik,/interface,bridge,print,statistics vrf <vrf>,,
Mikrotik,/ip,hotspot,print,statistics vrf <vrf>,,
Mikrotik,/ip,ipsec,print,statistics vrf <vrf>,,
Mikrotik,/ip,snmp,print,statistics vrf <vrf>,,
Mikrotik,/system,logging,print,statistics vrf <vrf>,,
Mikrotik,/interface,wireless,print,statistics vrf <vrf>,,
Mikrotik,/ip,cloud,print,statistics vrf <vrf>,,
Mikrotik,/system,watchdog,print,statistics vrf <vrf>,,
Mikrotik,/ip,traffic-flow,print,statistics vrf <vrf>,,
Mikrotik,/ip,proxy,print,statistics vrf <vrf>,,
Mikrotik,/ip,upnp,print,statistics vrf <vrf>,,
Mikrotik,/interface,ppp-server,print,statistics vrf <vrf>,,
Mikrotik,/ip,firewall,mangle print,statistics vrf <vrf>
