Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Huawei,traffic,policy <name>,classifier <name>,,
Huawei,display,traffic,policy,,
Huawei,qos,queue-profile <name>,,,
Huawei,display,qos,queue statistics,,
Huawei,display,cpu-usage,,,
Huawei,display,memory-usage,,,
Huawei,display,fan,,,
Huawei,display,power,,,
Huawei,display,transceiver,interface <interface-name>,,
Huawei,interface,<interface-name>,speed <value>,,
Huawei,display,interface,traffic,,
Huawei,display,ip,statistics,,
Huawei,reset,ip,statistics,,
Huawei,display,arp,statistics,,
Huawei,display,arp,vrf <vrf-name>,,
Huawei,display,arp,interface <interface-name>,,
Huawei,display,arp,cache,,
Huawei,arp,static,<ip-address> <mac-address>,,
Huawei,display,arp,static,,
Huawei,display,arp,dynamic,,
Huawei,arp,timeout,<seconds>,,
Huawei,display,arp,timeout,,
Huawei,display,arp,summary,,
Huawei,display,arp,detail,,
Huawei,display,arp,lookup,,
Huawei,display,arp,resolve,,
Huawei,display,arp,reachable,,
Huawei,display,arp,connected,,
Huawei,ospf,<process-id>,vrf <vrf-name>,,
Huawei,display,ospf,vrf <vrf-name>,,
Huawei,bgp,<as-number>,vrf <vrf-name>,,
Huawei,display,bgp,vrf <vrf-name>,,
Huawei,rip,<process-id>,vrf <vrf-name>,,
Huawei,display,rip,vrf <vrf-name>,,
Huawei,isis,<process-id>,vrf <vrf-name>,,
Huawei,display,isis,vrf <vrf-name>,,
Huawei,display,multicast,vrf <vrf-name>,,
Huawei,display,pim,vrf <vrf-name>,,
Huawei,display,igmp,vrf <vrf-name>,,
Huawei,display,ip,routing-table vrf <vrf-name> statistics,,
Huawei,display,ip,routing-table vrf <vrf-name> summary,,
Huawei,display,ip,routing-table vrf <vrf-name> detail,,
Huawei,display,arp,vrf <vrf-name> statistics,,
Huawei,display,arp,vrf <vrf-name> summary,,
Huawei,display,arp,vrf <vrf-name> detail,,
Huawei,display,arp,vrf <vrf-name> cache,,
Huawei,display,arp,vrf <vrf-name> lookup,,
Huawei,display,arp,vrf <vrf-name> resolve,,
Huawei,display,arp,vrf <vrf-name> reachable,,
Huawei,display,arp,vrf <vrf-name> connected,,
Huawei,interface,<interface-name>,portsecurity enable,,
Huawei,display,portsecurity,interface <interface-name>,,
Huawei,interface,<interface-name>,stp enable,,
Huawei,display,stp,brief,,
Huawei,interface,<interface-name>,vrrp vrid <vrid> virtual-ip <ip-address>,,
Huawei,display,vrrp,statistics,,
Huawei,display,eth-trunk,,,
Huawei,interface,eth-trunk <id>,,,
Huawei,display,interface,eth-trunk <id>,,
Huawei,display,aaa,configuration,,
Huawei,display,user-interface,,,
Huawei,display,clock,,,
Huawei,clock,datetime,<time> <date>,,
Huawei,display,ip,interface statistics,,
Huawei,display,ip,interface errors,,
Huawei,display,ip,interface packets,,
Huawei,display,ip,interface utilization,,
Huawei,display,ip,interface vrf <vrf-name>,,
Huawei,display,ip,interface vrf <vrf-name> brief,,
Huawei,display,ip,interface vrf <vrf-name> statistics,,
Huawei,display,ip,interface vrf <vrf-name> errors,,
Huawei,display,ip,interface vrf <vrf-name> packets,,
Huawei,display,ip,interface vrf <vrf-name> utilization,,
Huawei,display,ip,routing-table statistics,,
Huawei,display,ip,routing-table summary,,
Huawei,display,ip,routing-table detail,,
Huawei,display,ip,routing-table protocol <protocol>,,
Huawei,display,ip,routing-table vrf <vrf-name> protocol <protocol>,,
Huawei,display,ospf,interface,,
Huawei,display,ospf,neighbor,,
Huawei,display,ospf,database,,
Huawei,display,ospf,statistics,,
Huawei,display,ospf,vrf <vrf-name> interface,,
Huawei,display,ospf,vrf <vrf-name> neighbor,,
Huawei,display,ospf,vrf <vrf-name> database,,
Huawei,display,ospf,vrf <vrf-name> statistics,,
Huawei,display,bgp,peer,,
Huawei,display,bgp,network,,
Huawei,display,bgp,statistics,,
Huawei,display,bgp,vrf <vrf-name> peer,,
Huawei,display,bgp,vrf <vrf-name> network,,
Huawei,display,bgp,vrf <vrf-name> statistics,,
Huawei,display,rip,interface,,
Huawei,display,rip,neighbor,,
Huawei,display,rip,statistics,,
Huawei,display,rip,vrf <vrf-name> interface,,
Huawei,display,rip,vrf <vrf-name> neighbor,,
Huawei,display,rip,vrf <vrf-name> statistics,,
Huawei,display,isis,interface,,
Huawei,display,isis,neighbor,,
Huawei,display,isis,database,,
Huawei,display,isis,statistics,,
Huawei,display,isis,vrf <vrf-name> interface,,
Huawei,display,isis,vrf <vrf-name> neighbor,,
Huawei,display,isis,vrf <vrf-name> database,,
Huawei,display,isis,vrf <vrf-name> statistics,,
Huawei,display,mpls,lsp,,
Huawei,display,mpls,statistics,,
Huawei,display,mpls,vrf <vrf-name>,,
Huawei,display,mpls,vrf <vrf-name> lsp,,
Huawei,display,mpls,vrf <vrf-name> statistics,,
Huawei,display,pim,neighbor,,
Huawei,display,pim,rp-info,,
Huawei,display,pim,statistics,,
Huawei,display,pim,vrf <vrf-name> neighbor,,
Huawei,display,pim,vrf <vrf-name> rp-info,,
Huawei,display,pim,vrf <vrf-name> statistics,,
Huawei,display,igmp,interface,,
Huawei,display,igmp,statistics,,
Huawei,display,igmp,vrf <vrf-name> interface,,
Huawei,display,igmp,vrf <vrf-name> statistics,,
Huawei,display,multicast,interface,,
Huawei,display,multicast,statistics,,
Huawei,display,multicast,vrf <vrf-name> interface,,
Huawei,display,multicast,vrf <vrf-name> statistics,,
Huawei,display,vrrp,interface <interface-name>,,
Huawei,display,vrrp,vrf <vrf-name>,,
Huawei,display,eth-trunk,statistics,,
Huawei,display,eth-trunk,vrf <vrf-name>,,
Huawei,display,portsecurity,statistics,,
Huawei,display,portsecurity,vrf <vrf-name>,,
Huawei,display,stp,interface <interface-name>,,
Huawei,display,stp,vrf <vrf-name>,,
Huawei,display,qos,queue-profile <name>,,
Huawei,display,qos,vrf <vrf-name>,,
Huawei,display,traffic,policy statistics,,
Huawei,display,traffic,policy vrf <vrf-name>,,
Huawei,display,acl,statistics,,
Huawei,display,acl,vrf <vrf-name>,,
Huawei,display,snmp-agent,statistics,,
Huawei,display,snmp-agent,vrf <vrf-name>,,
Huawei,display,ntp-service,statistics,,
Huawei,display,ntp-service,vrf <vrf-name>,,
Huawei,display,ssh,statistics,,
Huawei,display,ssh,vrf <vrf-name>,,
Huawei,display,user-interface,statistics,,
Huawei,display,user-interface,vrf <vrf-name>,,
Huawei,display,aaa,statistics,,
Huawei,display,aaa,vrf <vrf-name>,,
Huawei,display,device,statistics,,
Huawei,display,device,vrf <vrf-name>,,
Huawei,display,version,statistics,,
Huawei,display,version,vrf <vrf-name>,,
Huawei,display,logbuffer,statistics,,
Huawei,display,logbuffer,vrf <vrf-name>,,
Huawei,display,diagnostic-information,statistics,,
Huawei,display,diagnostic-information,vrf <vrf-name>,,
Huawei,display,ip,statistics vrf <vrf-name>,,
Huawei,display,ip,statistics summary,,
Huawei,display,ip,statistics detail,,
Huawei,reset,ip,statistics vrf <vrf-name>,,
Huawei,reset,ip,statistics summary,,
Huawei,reset,ip,statistics detail,,
Huawei,display,arp,statistics vrf <vrf-name>,,
Huawei,display,arp,statistics summary,,
Huawei,display,arp,statistics detail,,
Huawei,reset,arp,statistics,,
Huawei,reset,arp,statistics vrf <vrf-name>,,
Huawei,reset,arp,statistics summary,,
Huawei,reset,arp,statistics detail,,
Huawei,display,interface,statistics,,
Huawei,display,interface,statistics vrf <vrf-name>,,
Huawei,display,interface,statistics summary,,
Huawei,display,interface,statistics detail,,
Huawei,reset,interface,statistics,,
Huawei,reset,interface,statistics vrf <vrf-name>,,
Huawei,reset,interface,statistics summary,,
Huawei,reset,interface,statistics detail
