Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Alcatel,configure,,,,
Alcatel,configure,system,name <name>,,
Alcatel,configure,port,<port-id>,,
Alcatel,configure,router,isis,level <level> authentication md5 <key>,,
Alcatel,show,router,isis,database,,
Alcatel,configure,router,rip,authentication md5 <key>,,
Alcatel,show,router,rip,statistics,,
Alcatel,configure,router,mpls,traffic-engineering,,
Alcatel,show,router,mpls,statistics,,
Alcatel,configure,filter,ip-filter <id>,entry <entry-id>,,
Alcatel,show,filter,log,,
Alcatel,configure,system,login-control ssh,,,
Alcatel,show,system,login-control,,
Alcatel,admin,save,,,,
Alcatel,show,system,uptime,,
Alcatel,configure,router,ospf,area <area-id> stub,,
Alcatel,show,router,ospf,neighbor,,
Alcatel,configure,router,bgp,group <group-name>,family ipv6,,
Alcatel,show,router,bgp,neighbor,,
Alcatel,configure,port,<port-id>,speed <value>,,
Alcatel,show,port,media,,
Alcatel,configure,router,vrf-target <target>,,,
Alcatel,show,router,vrf-target,,
Alcatel,configure,router,multicast,vrf <name>,,
Alcatel,show,router,multicast vrf <name>,,
Alcatel,configure,router,pim,vrf <name>,,
Alcatel,show,router,pim vrf <name>,,
Alcatel,configure,router,igmp,vrf <name>,,
Alcatel,show,router,igmp vrf <name>,,
Alcatel,configure,router,ospf,vrf <name>,,
Alcatel,show,router,ospf vrf <name>,,
Alcatel,configure,router,bgp,vrf <name>,,
Alcatel,show,router,bgp vrf <name>,,
Alcatel,configure,router,rip,vrf <name>,,
Alcatel,show,router,rip vrf <name>,,
Alcatel,configure,router,isis,vrf <name>,,
Alcatel,show,router,isis vrf <name>,,
Alcatel,configure,system,security profile <name>,,,
Alcatel,show,system,security profile,,
Alcatel,configure,router,ospf,area <area-id> virtual-link neighbor <ip>,,
Alcatel,show,router,ospf,statistics,,
Alcatel,configure,router,bgp,group <group-name>,authentication md5 <key>,,
Alcatel,show,router,bgp,statistics,,
Alcatel,configure,port,<port-id>,vlan-tagging,,
Alcatel,show,port,vlan,,
Alcatel,configure,router,isis,traffic-engineering,,
Alcatel,show,router,isis,statistics,,
Alcatel,configure,router,mpls,explicit-null,,
Alcatel,show,router,mpls,route,,
Alcatel,configure,filter,ip-filter <id>,entry <entry-id> match source-ip <address>,,
Alcatel,show,filter,statistics,,
Alcatel,configure,system,login-control telnet,,,
Alcatel,show,system,login-control telnet,,
Alcatel,admin,reboot,,,,
Alcatel,show,system,processes,,
Alcatel,configure,router,ospf,area <area-id> nssa,,
Alcatel,show,router,ospf,database detail,,
Alcatel,configure,router,bgp,group <group-name>,multihop,,
Alcatel,show,router,bgp,route,,
Alcatel,configure,port,<port-id>,family mpls,,
Alcatel,show,port,family mpls,,
Alcatel,configure,router,isis,level <level> metric <value>,,
Alcatel,show,router,isis,route,,
Alcatel,configure,router,mpls,interface <interface-name> hello-interval <seconds>,,
Alcatel,show,router,mpls,interface,,
Alcatel,configure,system,security user <name> password <password>,,,
Alcatel,show,system,security passwords,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> metric <value>,,
Alcatel,show,router,ospf,interface detail,,
Alcatel,configure,router,bgp,group <group-name>,next-hop self,,
Alcatel,show,router,bgp,neighbor detail,,
Alcatel,configure,port,<port-id>,family ccc,,
Alcatel,show,port,family ccc,,
Alcatel,configure,router,isis,level <level> priority <value>,,
Alcatel,show,router,isis,adjacency detail,,
Alcatel,configure,router,mpls,interface <interface-name> authentication key <key>,,
Alcatel,show,router,mpls,neighbor,,
Alcatel,configure,system,log filter <id>,,,
Alcatel,show,system,log filter,,
Alcatel,configure,router,ospf,area <area-id> no-summaries,,
Alcatel,show,router,ospf,neighbor detail,,
Alcatel,configure,router,bgp,group <group-name>,path-selection external-router-id,,
Alcatel,show,router,bgp,group detail,,
Alcatel,configure,port,<port-id>,family vpls,,
Alcatel,show,port,family vpls,,
Alcatel,configure,router,isis,level <level> authentication simple-password <key>,,
Alcatel,show,router,isis,database detail,,
Alcatel,configure,router,mpls,interface <interface-name> bandwidth <value>,,
Alcatel,show,router,mpls,session detail,,
Alcatel,configure,system,security user <name> access ftp,,,
Alcatel,show,system,security access,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> authentication simple-password <key>,,
Alcatel,show,router,ospf,database extensive,,
Alcatel,configure,router,bgp,group <group-name>,family inet-vpn unicast,,
Alcatel,show,router,bgp,group vpn,,
Alcatel,configure,port,<port-id>,family tcc,,
Alcatel,show,port,family tcc,,
Alcatel,configure,router,isis,traffic-engineering shortcuts,,
Alcatel,show,router,isis,statistics detail,,
Alcatel,configure,router,mpls,interface <interface-name> hello-interval <seconds>,,
Alcatel,show,router,mpls,interface detail,,
Alcatel,configure,system,security user <name> access telnet,,,
Alcatel,show,system,security access telnet,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> priority <value>,,
Alcatel,show,router,ospf,interface extensive,,
Alcatel,configure,router,bgp,group <group-name>,family inet multicast,,
Alcatel,show,router,bgp,group multicast,,
Alcatel,configure,port,<port-id>,family ethernet-switching,,
Alcatel,show,port,family ethernet-switching,,
Alcatel,configure,router,isis,level <level> wide-metrics-only,,
Alcatel,show,router,isis,route detail,,
Alcatel,configure,router,mpls,interface <interface-name> authentication md5 <key>,,
Alcatel,show,router,mpls,neighbor detail,,
Alcatel,configure,system,log filter <id> destination <ip-address>,,,
Alcatel,show,system,log filter destination,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> mtu <value>,,
Alcatel,show,router,ospf,route detail,,
Alcatel,configure,router,bgp,group <group-name>,local-preference <value>,,
Alcatel,show,router,bgp,summary extensive,,
Alcatel,configure,port,<port-id>,speed <value>,,
Alcatel,show,port,media detail,,
Alcatel,configure,router,isis,level <level> authentication md5 <key> level,,
Alcatel,show,router,isis,database extensive,,
Alcatel,configure,router,mpls,interface <interface-name> bandwidth <value>,,
Alcatel,show,router,mpls,session extensive,,
Alcatel,configure,system,security user <name> access ssh,,,
Alcatel,show,system,security access ssh,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> dead-interval <seconds>,,
Alcatel,show,router,ospf,neighbor extensive,,
Alcatel,configure,router,bgp,group <group-name>,metric-out <value>,,
Alcatel,show,router,bgp,route extensive,,
Alcatel,configure,port,<port-id>,description <text>,,
Alcatel,show,port,description detail,,
Alcatel,show,router,arp,table,,
Alcatel,show,router,arp,statistics,,
Alcatel,show,router,arp,summary,,
Alcatel,show,router,arp,interface,,
Alcatel,show,router,arp,vrf <name>,,
Alcatel,show,router,arp,detail,,
Alcatel,show,router,arp,cache,,
Alcatel,show,router,arp,entry,,
Alcatel,show,router,arp,lookup,,
Alcatel,show,router,arp,resolve,,
Alcatel,show,router,arp,reachable,,
Alcatel,show,router,arp,connected,,
Alcatel,show,router,arp,table detail,,
Alcatel,show,router,arp,statistics detail,,
Alcatel,show,router,arp,summary detail,,
Alcatel,show,router,arp,interface detail,,
Alcatel,show,router,arp,vrf <name> detail,,
Alcatel,show,router,arp,cache detail,,
Alcatel,show,router,arp,entry detail,,
Alcatel,show,router,arp,lookup detail,,
Alcatel,show,router,arp,resolve detail,,
Alcatel,show,router,arp,reachable detail,,
Alcatel,show,router,arp,connected detail,,
Alcatel,configure,router,ospf,area <area-id> area-range <network>/<prefix-length>,,
Alcatel,show,router,ospf,route,,
Alcatel,configure,router,bgp,group <group-name>,prefix-limit maximum <value>,,
Alcatel,show,router,bgp,route detail,,
Alcatel,configure,port,<port-id>,family iso,,
Alcatel,show,port,family iso,,
Alcatel,configure,router,isis,reference-bandwidth <value>,,
Alcatel,show,router,isis,interface,,
Alcatel,configure,router,mpls,bandwidth <value>,,,
Alcatel,show,router,mpls,session,,
Alcatel,configure,service,vpls <id>,,,
Alcatel,show,service,vpls <id>,,
Alcatel,configure,service,vpls <id>,endpoint <name>,,
Alcatel,show,service,vpls <id> endpoint,,
Alcatel,configure,router,policy-options policy-statement <name>,,,
Alcatel,show,router,policy-options policy-statement <name>,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> hello-interval <seconds>,,
Alcatel,show,router,ospf,statistics detail,,
Alcatel,configure,router,bgp,group <group-name>,family inet6 unicast,,
Alcatel,show,router,bgp,group inet6,,
Alcatel,configure,port,<port-id>,qos <policy-id>,,
Alcatel,show,port,qos,,
Alcatel,configure,system,security ssh server,,,
Alcatel,show,system,security ssh,,
Alcatel,configure,router,isis,level <level> wide-metrics-only,,
Alcatel,show,router,isis,adjacency extensive,,
Alcatel,configure,router,mpls,interface <interface-name> admin-state enable,,
Alcatel,show,router,mpls,interface extensive,,
Alcatel,configure,service,vpls <id>,sap <port-id>,,
Alcatel,show,service,vpls <id> sap,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> authentication-type message-digest,,
Alcatel,show,router,ospf,database summary,,
Alcatel,configure,router,bgp,group <group-name>,export <policy>,,
Alcatel,show,router,bgp,policy,,
Alcatel,configure,port,<port-id>,encapsulation dot1q,,
Alcatel,show,port,encapsulation,,
Alcatel,configure,system,time dst zone <name>,,,
Alcatel,show,system,time dst,,
Alcatel,configure,router,isis,level <level> preference <value>,,
Alcatel,show,router,isis,statistics extensive,,
Alcatel,configure,router,mpls,lsp <name> primary <path>,,
Alcatel,show,router,mpls,lsp detail,,
Alcatel,configure,service,vpls <id>,mesh-sdp <sdp-id>,,
Alcatel,show,service,vpls <id> sdp,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> retransmit-interval <seconds>,,
Alcatel,show,router,ospf,interface summary,,
Alcatel,configure,router,bgp,group <group-name>,import <policy>,,
Alcatel,show,router,bgp,group summary,,
Alcatel,configure,port,<port-id>,storm-control,,
Alcatel,show,port,storm-control,,
Alcatel,configure,system,security user <name> access console,,,
Alcatel,show,system,security access console,,
Alcatel,configure,router,isis,level <level> overload,,
Alcatel,show,router,isis,overload,,
Alcatel,configure,router,mpls,lsp <name> admin-state enable,,
Alcatel,show,router,mpls,lsp summary,,
Alcatel,configure,service,vpls <id>,spoke-sdp <sdp-id>,,
Alcatel,show,service,vpls <id> spoke-sdp,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> cost <value>,,
Alcatel,show,router,ospf,neighbor summary,,
Alcatel,configure,router,bgp,group <group-name>,keepalive <seconds>,,
Alcatel,show,router,bgp,neighbor summary,,
Alcatel,configure,port,<port-id>,port-security,,
Alcatel,show,port,port-security,,
Alcatel,configure,system,security ssh version 2,,,
Alcatel,show,system,security ssh version,,
Alcatel,configure,router,isis,level <level> authentication-type message-digest,,
Alcatel,show,router,isis,database summary,,
Alcatel,configure,router,mpls,lsp <name> to <ip-address>,,
Alcatel,show,router,mpls,lsp extensive,,
Alcatel,configure,service,vpls <id>,site <site-name>,,
Alcatel,show,service,vpls <id> site,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> dead-interval <seconds>,,
Alcatel,show,router,ospf,route summary,,
Alcatel,configure,router,bgp,group <group-name>,hold-time <seconds>,,
Alcatel,show,router,bgp,route summary,,
Alcatel,configure,port,<port-id>,eth-cfm,,
Alcatel,show,port,eth-cfm,,
Alcatel,configure,system,security user <name> access snmp,,,
Alcatel,show,system,security access snmp,,
Alcatel,configure,router,isis,level <level> lsp-lifetime <seconds>,,
Alcatel,show,router,isis,lsp,,
Alcatel,configure,router,mpls,interface <interface-name> label-map <label>,,
Alcatel,show,router,mpls,label,,
Alcatel,configure,service,vpls <id>,sap <port-id> ingress qos <policy-id>,,
Alcatel,show,service,vpls <id> sap qos,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> authentication md5 <key>,,
Alcatel,show,router,ospf,database extensive,,
Alcatel,configure,router,bgp,group <group-name>,family evpn,,
Alcatel,show,router,bgp,group evpn,,
Alcatel,configure,port,<port-id>,family ethernet-switching vlan <vlan-id>,,
Alcatel,show,port,family ethernet-switching vlan,,
Alcatel,configure,router,isis,level <level> spf-interval <seconds>,,
Alcatel,show,router,isis,spf,,
Alcatel,configure,router,mpls,interface <interface-name> admin-state disable,,
Alcatel,show,router,mpls,interface summary,,
Alcatel,configure,service,vpls <id>,sap <port-id> egress qos <policy-id>,,
Alcatel,show,service,vpls <id> sap egress,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> hello-interval <seconds>,,
Alcatel,show,router,ospf,interface extensive,,
Alcatel,configure,router,bgp,group <group-name>,family inet-vpn multicast,,
Alcatel,show,router,bgp,group vpn multicast,,
Alcatel,configure,port,<port-id>,family ethernet-switching port-mode access,,
Alcatel,show,port,family ethernet-switching port-mode,,
Alcatel,configure,router,isis,level <level> overload-timeout <seconds>,,
Alcatel,show,router,isis,overload-timeout,,
Alcatel,configure,router,mpls,lsp <name> retry-limit <value>,,
Alcatel,show,router,mpls,lsp retry,,
Alcatel,configure,service,vpls <id>,sap <port-id> description <text>,,
Alcatel,show,service,vpls <id> sap description,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> retransmit-interval <seconds>,,
Alcatel,show,router,ospf,route extensive,,
Alcatel,configure,router,bgp,group <group-name>,family inet6 multicast,,
Alcatel,show,router,bgp,group inet6 multicast,,
Alcatel,configure,port,<port-id>,family ethernet-switching port-mode trunk,,
Alcatel,show,port,family ethernet-switching port-mode trunk,,
Alcatel,configure,router,isis,level <level> lsp-refresh-interval <seconds>,,
Alcatel,show,router,isis,lsp-refresh,,
Alcatel,configure,router,mpls,lsp <name> retry-timer <seconds>,,
Alcatel,show,router,mpls,lsp retry-timer,,
Alcatel,configure,service,vpls <id>,sap <port-id> admin-state enable,,
Alcatel,show,service,vpls <id> sap admin-state,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> priority <value>,,
Alcatel,show,router,ospf,neighbor extensive,,
Alcatel,configure,router,bgp,group <group-name>,local-as <as-number>,,
Alcatel,show,router,bgp,group local-as,,
Alcatel,configure,port,<port-id>,family ethernet-switching vlan-tagging,,
Alcatel,show,port,family ethernet-switching vlan-tagging,,
Alcatel,configure,router,isis,level <level> authentication md5 <key> level,,
Alcatel,show,router,isis,database extensive,,
Alcatel,configure,router,mpls,interface <interface-name> hello-interval <seconds>,,
Alcatel,show,router,mpls,interface extensive,,
Alcatel,configure,service,vpls <id>,sap <port-id> statistics,,
Alcatel,show,service,vpls <id> sap statistics,,
Alcatel,configure,router,ospf,area <area-id> interface <interface-name> mtu <value>,,
Alcatel,show,router,ospf,route summary,,
Alcatel,configure,router,bgp,group <group-name>,prefix-limit maximum <value>,,
Alcatel,show,router,bgp,route detail,,
Alcatel,configure,port,<port-id>,family ethernet-switching description <text>,,
Alcatel,show,port,family ethernet-switching description,,
Alcatel,configure,router,isis,level <level> metric <value>,,
Alcatel,show,router,isis,route extensive,,
Alcatel,configure,router,mpls,interface <interface-name> bandwidth <value>,,
Alcatel,show,router,mpls,session extensive,,
Alcatel,configure,service,vpls <id>,sap <port-id> qos <policy-id>,,
Alcatel,show,service,vpls <id> sap qos detail
