Vendor,Command,SubcommandLevel1,SubcommandLevel2,SubcommandLevel3
Juniper,set,protocols,bgp,group <group-name>,metric-out <value>,,
Juniper,show,bgp,route detail,,
Juniper,set,interfaces,<interface-name>,family tcc,,
Juniper,show,interfaces,family tcc,,
Juniper,monitor,interface,real-time,,
Juniper,show,interfaces,detail,,
Juniper,set,system,services web-management http,,,
Juniper,show,system,services web-management,,
Juniper,request,system,check,,
Juniper,show,system,core-dumps,,
Juniper,set,protocols,ospf,area <area-id> interface <interface-name> metric <value>,,
Juniper,show,ospf,interface detail,,
Juniper,set,protocols,bgp,group <group-name>,next-hop self,,
Juniper,show,bgp,neighbor extensive,,
Juniper,set,interfaces,<interface-name>,family vpls,,
Juniper,show,interfaces,family vpls,,
Juniper,set,protocols,isis,level <level> metric <value>,,
Juniper,show,isis,route,,
Juniper,set,protocols,rsvp,interface <interface-name> hello-interval <seconds>,,
Juniper,show,rsvp,session detail,,
Juniper,set,policy-options,policy-statement <name>,term <term-name>,,
Juniper,show,policy-options,policy-statement detail,,
Juniper,set,protocols,ospf3,area <area-id> area-range <network>/<prefix-length>,,
Juniper,show,ospf3,route,,
Juniper,set,protocols,bgp,group <group-name>,family inet-vpn unicast,,
Juniper,show,bgp,group vpn,,
Juniper,monitor,traffic,detail,,
Juniper,show,interfaces,queue detail,,
Juniper,set,system,services web-management https,,,
Juniper,show,system,services web-management https,,
Juniper,request,system,snapshot,,
Juniper,show,system,rollback,,
Juniper,set,protocols,ospf,area <area-id> interface <interface-name> authentication simple-password <key>,,
Juniper,show,ospf,database detail,,
Juniper,set,protocols,bgp,group <group-name>,path-selection external-router-id,,
Juniper,show,bgp,group extensive,,
Juniper,set,interfaces,<interface-name>,family ethernet-switching,,
Juniper,show,interfaces,family ethernet-switching,,
Juniper,set,protocols,isis,level <level> priority <value>,,
Juniper,show,isis,adjacency detail,,
Juniper,set,protocols,rsvp,interface <interface-name> authentication key <key>,,
Juniper,show,rsvp,neighbor detail,,
Juniper,set,policy-options,policy-statement <name>,then accept,,
Juniper,show,policy-options,policy-statement extensive,,
Juniper,monitor,traffic,extensive,,
Juniper,show,interfaces,extensive detail,,
Juniper,show,arp,table,,
Juniper,show,arp,statistics,,
Juniper,show,arp,summary,,
Juniper,show,arp,interface,,
Juniper,show,arp,vrf,,
Juniper,show,arp,detail,,
Juniper,show,arp,cache,,
Juniper,show,arp,entry,,
Juniper,show,arp,lookup,,
Juniper,show,arp,resolve,,
Juniper,show,arp,reachable,,
Juniper,show,arp,connected,,
Juniper,show,arp,table detail,,
Juniper,show,arp,statistics detail,,
Juniper,show,arp,summary detail,,
Juniper,show,arp,interface detail,,
Juniper,show,arp,vrf detail,,
Juniper,show,arp,cache detail,,
Juniper,show,arp,entry detail,,
Juniper,show,arp,lookup detail,,
Juniper,show,arp,resolve detail,,
Juniper,show,arp,reachable detail,,
Juniper,show,arp,connected detail
